City,Country,Population,Area,country population,country area,country density,growth rate,2009 growth rate,2005-2010 growth rate,2010-2015 growth rate,2015-2020 growth rate
Açailândia,Brazil,113100,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Aguas Lindas de Goiás,Brazil,217600,191.18,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Alagoinhas,Brazil,152300,707.558,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Almirante Tamandaré,Brazil,120000,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Altamira,Brazil,115900,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Alvorada,Brazil,211300,70.811,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Americana,Brazil,242000,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Ananindeua,Brazil,535500,185.057,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Anápolis,Brazil,391700,918.375,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Angra dos Reis,Brazil,207000,816.3,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Aparecida de Goiania,Brazil,590100,290.1,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Apucarana,Brazil,136200,548.0,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Aracaju,Brazil,664900,181.857,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araçatuba,Brazil,196100,1167.4,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Aracruz,Brazil,104900,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araguaina,Brazil,183300,3920.1,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araguari,Brazil,116900,2730.632,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Arapiraca,Brazil,233000,351.475,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Arapongas,Brazil,124800,381.091,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araraquara,Brazil,238300,1004.0,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araras,Brazil,133500,644.831,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araruama,Brazil,134200,633.795,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araucária,Brazil,146200,469.24,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Araxá,Brazil,107300,1165.169,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Ariquemes,Brazil,109500,4427.0,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Assis,Brazil,105000,460.61,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Atibaia,Brazil,144000,478.521,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Bacabal,Brazil,104600,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Bagé,Brazil,121300,4090.36,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Balneário Camboriú,Brazil,145700,46.0,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barbacena,Brazil,138200,759.19,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barcarena,Brazil,127000,,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barra do Piraí,Brazil,100700,578.471,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barra Mansa,Brazil,184800,547.133,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barreiras,Brazil,156900,7985.421,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barretos,Brazil,122800,1566.161,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Barueri,Brazil,276900,65.705,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
Bauru,Brazil,379200,667.68,214326223.0,8514877.0,25.0,0.64,0.87,1.03,0.91,0.75
